method,transition,metric,variable,value
adda,mm10->hg38,accuracy,better_count,1
adda,mm10->hg38,pr_auc,better_count,1
adda,mm10->hg38,roc_auc,better_count,1
adda,hg38->mm10,accuracy,better_count,0
adda,hg38->mm10,pr_auc,better_count,0
adda,hg38->mm10,roc_auc,better_count,0
afn,mm10->hg38,accuracy,better_count,1
afn,mm10->hg38,pr_auc,better_count,1
afn,mm10->hg38,roc_auc,better_count,1
afn,hg38->mm10,accuracy,better_count,1
afn,hg38->mm10,pr_auc,better_count,0
afn,hg38->mm10,roc_auc,better_count,0
cdan,mm10->hg38,accuracy,better_count,3
cdan,mm10->hg38,pr_auc,better_count,2
cdan,mm10->hg38,roc_auc,better_count,3
cdan,hg38->mm10,accuracy,better_count,10
cdan,hg38->mm10,pr_auc,better_count,5
cdan,hg38->mm10,roc_auc,better_count,8
dan,mm10->hg38,accuracy,better_count,11
dan,mm10->hg38,pr_auc,better_count,11
dan,mm10->hg38,roc_auc,better_count,11
dan,hg38->mm10,accuracy,better_count,11
dan,hg38->mm10,pr_auc,better_count,11
dan,hg38->mm10,roc_auc,better_count,11
dann,mm10->hg38,accuracy,better_count,3
dann,mm10->hg38,pr_auc,better_count,1
dann,mm10->hg38,roc_auc,better_count,1
dann,hg38->mm10,accuracy,better_count,5
dann,hg38->mm10,pr_auc,better_count,2
dann,hg38->mm10,roc_auc,better_count,4
jan,mm10->hg38,accuracy,better_count,1
jan,mm10->hg38,pr_auc,better_count,1
jan,mm10->hg38,roc_auc,better_count,2
jan,hg38->mm10,accuracy,better_count,4
jan,hg38->mm10,pr_auc,better_count,3
jan,hg38->mm10,roc_auc,better_count,4
mcc,mm10->hg38,accuracy,better_count,12
mcc,mm10->hg38,pr_auc,better_count,12
mcc,mm10->hg38,roc_auc,better_count,12
mcc,hg38->mm10,accuracy,better_count,12
mcc,hg38->mm10,pr_auc,better_count,12
mcc,hg38->mm10,roc_auc,better_count,12
mcd,mm10->hg38,accuracy,better_count,3
mcd,mm10->hg38,pr_auc,better_count,2
mcd,mm10->hg38,roc_auc,better_count,3
mcd,hg38->mm10,accuracy,better_count,3
mcd,hg38->mm10,pr_auc,better_count,2
mcd,hg38->mm10,roc_auc,better_count,2
mdd,mm10->hg38,accuracy,better_count,1
mdd,mm10->hg38,pr_auc,better_count,1
mdd,mm10->hg38,roc_auc,better_count,1
mdd,hg38->mm10,accuracy,better_count,0
mdd,hg38->mm10,pr_auc,better_count,0
mdd,hg38->mm10,roc_auc,better_count,0
adda,mm10->hg38,accuracy,worse_count,-11
adda,mm10->hg38,pr_auc,worse_count,-11
adda,mm10->hg38,roc_auc,worse_count,-11
adda,hg38->mm10,accuracy,worse_count,-11
adda,hg38->mm10,pr_auc,worse_count,-11
adda,hg38->mm10,roc_auc,worse_count,-11
afn,mm10->hg38,accuracy,worse_count,-10
afn,mm10->hg38,pr_auc,worse_count,-10
afn,mm10->hg38,roc_auc,worse_count,-10
afn,hg38->mm10,accuracy,worse_count,-11
afn,hg38->mm10,pr_auc,worse_count,-12
afn,hg38->mm10,roc_auc,worse_count,-12
cdan,mm10->hg38,accuracy,worse_count,-9
cdan,mm10->hg38,pr_auc,worse_count,-10
cdan,mm10->hg38,roc_auc,worse_count,-9
cdan,hg38->mm10,accuracy,worse_count,-2
cdan,hg38->mm10,pr_auc,worse_count,-7
cdan,hg38->mm10,roc_auc,worse_count,-4
dan,mm10->hg38,accuracy,worse_count,-1
dan,mm10->hg38,pr_auc,worse_count,-1
dan,mm10->hg38,roc_auc,worse_count,-1
dan,hg38->mm10,accuracy,worse_count,-1
dan,hg38->mm10,pr_auc,worse_count,-1
dan,hg38->mm10,roc_auc,worse_count,-1
dann,mm10->hg38,accuracy,worse_count,-9
dann,mm10->hg38,pr_auc,worse_count,-11
dann,mm10->hg38,roc_auc,worse_count,-11
dann,hg38->mm10,accuracy,worse_count,-7
dann,hg38->mm10,pr_auc,worse_count,-10
dann,hg38->mm10,roc_auc,worse_count,-8
jan,mm10->hg38,accuracy,worse_count,-11
jan,mm10->hg38,pr_auc,worse_count,-11
jan,mm10->hg38,roc_auc,worse_count,-10
jan,hg38->mm10,accuracy,worse_count,-8
jan,hg38->mm10,pr_auc,worse_count,-9
jan,hg38->mm10,roc_auc,worse_count,-8
mcc,mm10->hg38,accuracy,worse_count,0
mcc,mm10->hg38,pr_auc,worse_count,0
mcc,mm10->hg38,roc_auc,worse_count,0
mcc,hg38->mm10,accuracy,worse_count,0
mcc,hg38->mm10,pr_auc,worse_count,0
mcc,hg38->mm10,roc_auc,worse_count,0
mcd,mm10->hg38,accuracy,worse_count,-9
mcd,mm10->hg38,pr_auc,worse_count,-10
mcd,mm10->hg38,roc_auc,worse_count,-9
mcd,hg38->mm10,accuracy,worse_count,-9
mcd,hg38->mm10,pr_auc,worse_count,-10
mcd,hg38->mm10,roc_auc,worse_count,-10
mdd,mm10->hg38,accuracy,worse_count,-11
mdd,mm10->hg38,pr_auc,worse_count,-11
mdd,mm10->hg38,roc_auc,worse_count,-11
mdd,hg38->mm10,accuracy,worse_count,-12
mdd,hg38->mm10,pr_auc,worse_count,-12
mdd,hg38->mm10,roc_auc,worse_count,-12
