method	tf	cell_class	cell_type	full_title	transition	metric	value
adda	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	accuracy	0.7016100000000001
afn	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	accuracy	0.7065600000000001
cdan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	accuracy	0.78874
dan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	accuracy	0.82674
dann	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	accuracy	0.75912
jan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	accuracy	0.73897
mcc	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	accuracy	0.85198
mcd	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	accuracy	0.74086
mdd	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	accuracy	0.70515
src_only	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	accuracy	0.75762
adda	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	pr_auc	0.73299
afn	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	pr_auc	0.81304
cdan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	pr_auc	0.80104
dan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	pr_auc	0.90842
dann	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	pr_auc	0.74909
jan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	pr_auc	0.75262
mcc	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	pr_auc	0.9306399999999999
mcd	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	pr_auc	0.8394499999999999
mdd	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	pr_auc	0.80934
src_only	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	pr_auc	0.85143
adda	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	roc_auc	0.74236
afn	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	roc_auc	0.79255
cdan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	roc_auc	0.8498600000000001
dan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	roc_auc	0.90944
dann	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	roc_auc	0.81026
jan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	roc_auc	0.79224
mcc	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	roc_auc	0.9319700000000001
mcd	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	roc_auc	0.82987
mdd	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	roc_auc	0.7943399999999999
src_only	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	mm10.hg38	roc_auc	0.8469199999999999
adda	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	accuracy	0.72161
afn	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	accuracy	0.7425499999999999
cdan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	accuracy	0.85433
dan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	accuracy	0.85909
dann	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	accuracy	0.81538
jan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	accuracy	0.8074800000000001
mcc	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	accuracy	0.89384
mcd	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	accuracy	0.78121
mdd	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	accuracy	0.77077
src_only	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	accuracy	0.80329
adda	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	pr_auc	0.8468600000000001
afn	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	pr_auc	0.8733299999999999
cdan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	pr_auc	0.92568
dan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	pr_auc	0.94406
dann	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	pr_auc	0.8832800000000001
jan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	pr_auc	0.8929900000000001
mcc	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	pr_auc	0.96235
mcd	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	pr_auc	0.90683
mdd	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	pr_auc	0.8843099999999999
src_only	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	pr_auc	0.90779
adda	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	roc_auc	0.83962
afn	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	roc_auc	0.8615600000000001
cdan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	roc_auc	0.94411
dan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	roc_auc	0.94435
dann	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	roc_auc	0.91988
jan	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	roc_auc	0.90886
mcc	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	roc_auc	0.96476
mcd	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	roc_auc	0.90271
mdd	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	roc_auc	0.87637
src_only	TBX21	Blood	Th1_Cells	<b>TBX21</b>: Blood - Th1_Cells	hg38.mm10	roc_auc	0.9039499999999999
